Agra,Satisfactory,74,"PM, PM102.5",6/6,20240313
Ahmedabad,Moderate,140,PM2.5,8/9,20240313
Ahmednagar,Moderate,115,PM10,1/1,20240313
Aizawl,Moderate,104,PM10,1/1,20240313
Ajmer,Satisfactory,97,PM10,1/1,20240313
Akola,Moderate,112,PM2.5,1/1,20240313
Alwar,Satisfactory,75,PM10,1/1,20240313
Amaravati,Satisfactory,65,PM10,1/1,20240313
Ambala,Satisfactory,72,PM10,1/1,20240313
Amravati,Moderate,102,PM10,2/2,20240313
Amritsar,Moderate,110,PM10,1/1,20240313
Anantapur,Satisfactory,98,PM10,1/1,20240313
Angul,Moderate,179,PM2.5,1/1,20240313
Ankleshwar,Satisfactory,70,CO,1/1,20240313
Araria,Moderate,139,PM10,1/1,20240313
Ariyalur,Satisfactory,76,PM2.5,1/1,20240313
Asansol,Moderate,125,PM2.5,1/1,20240313
Aurangabad(Maharashtra),Satisfactory,88,"PM, PM102.5",3/3,20240313
Baddi,Moderate,130,PM10,1/1,20240313
Badlapur,Moderate,111,PM2.5,1/1,20240313
Bagalkot,Good,46,PM10,1/1,20240313
Baghpat,Moderate,104,PM10,1/2,20240313
Bahadurgarh,Moderate,176,PM2.5,1/1,20240313
Balasore,Satisfactory,98,PM10,1/1,20240313
Ballabgarh,Poor,228,PM2.5,1/1,20240313
Banswara,Moderate,120,PM10,1/1,20240313
Baran,Moderate,104,PM10,1/1,20240313
Barbil,Poor,213,PM10,1/1,20240313
Bareilly,Satisfactory,62,PM10,1/2,20240313
Baripada,Poor,212,PM2.5,1/1,20240313
Barmer,Moderate,136,PM10,1/1,20240313
Bathinda,Satisfactory,90,PM10,1/1,20240313
Belapur,Moderate,111,PM10,1/1,20240313
Belgaum,Satisfactory,62,PM10,1/1,20240313
Bengaluru,Moderate,105,"O, PM32.5",10/14,20240313
Bettiah,Satisfactory,93,PM2.5,1/1,20240313
Bhagalpur,Moderate,120,"PM, PM102.5",2/2,20240313
Bharatpur,Moderate,171,PM2.5,1/1,20240313
Bhilai,Satisfactory,98,PM10,2/3,20240313
Bhilwara,Moderate,111,PM2.5,1/1,20240313
Bhiwadi,Moderate,188,"PM, PM102.5",2/2,20240313
Bhiwandi,Moderate,121,PM10,1/1,20240313
Bhiwani,Satisfactory,94,PM2.5,1/1,20240313
Bhopal,Satisfactory,81,PM10,3/3,20240313
Bhubaneswar,Moderate,112,PM10,2/2,20240313
